demande_id,region,prefecture,commune,quartier,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur
D301,maritime,vo,vogan,Kodjoviakopé,Certificat de nationalité,Identité,187,14,0.09,2023-09-30,Première demande,Traitee,En ligne,54,M
D302,savanes,tone,dapaong,Kodjoviakopé,Livre de famille,Civil,186,43,0.03,2023-12-20,Nouveau mariage,Rejetée,Guichet,41,F
D303,kara,kozah,kara,Tokoin,Carte d'identité,Identité,43,37,0.05,2023-07-17,Détérioration,En cours,En ligne,43,F
D304,savanes,tone,dapaong,Amoutivé,Certificat de nationalité,Identité,173,25,0.11,2023-01-08,Première demande,En cours,Guichet,64,F
D305,plateaux,ogou,atakpame,Nyékonakpoé,Casier judiciaire,Judiciaire,179,40,0.03,2023-09-11,Emploi,Traitee,En ligne,54,F
D306,plateaux,ogou,atakpame,Hôpital,Casier judiciaire,Judiciaire,152,27,0.12,2023-06-11,Emploi,En cours,Guichet,61,M
D307,savanes,oti,mango,Amoutivé,Carte d'identité,Identité,50,26,0.07,2023-11-20,Vol,Traitee,En ligne,52,F
D308,savanes,tone,dapaong,Kodjoviakopé,Acte de naissance,Civil,104,39,0.06,2023-09-18,Erreur,Rejetée,En ligne,63,F
D309,centrale,sotouboua,sotouboua,Agoè,Casier judiciaire,Judiciaire,150,23,0.1,2023-04-05,Voyage,En cours,En ligne,70,M
D310,plateaux,kloto,kpalime,Kwé,Passeport,Voyage,42,11,0.12,2023-06-27,Expiration,En cours,En ligne,46,M
D311,plateaux,kloto,kpalime,Agoè,Certificat de nationalité,Identité,60,42,0.04,2023-11-12,Perte,Traitee,Guichet,49,F
D312,kara,kozah,kara,Golfe,Carte d'identité,Identité,60,18,0.07,2023-01-20,Vol,En cours,En ligne,64,F
D313,kara,binah,pagouda,Bè,Passeport,Voyage,66,17,0.09,2023-11-10,Expiration,Traitee,Guichet,90,M
D314,centrale,sotouboua,sotouboua,Nyékonakpoé,Livre de famille,Civil,109,21,0.02,2023-05-13,Détérioration,Traitee,Guichet,44,F
D315,centrale,tchaoudjo,sokode,Tokoin,Acte de naissance,Civil,28,27,0.06,2023-10-29,Erreur,Rejetée,Guichet,24,M
D316,savanes,oti,mango,Nyékonakpoé,Passeport,Voyage,85,19,0.09,2023-01-10,Perte,Rejetée,Guichet,46,M
D317,centrale,sotouboua,sotouboua,Bè,Livre de famille,Civil,70,32,0.07,2023-10-21,Nouveau mariage,Traitee,Guichet,36,F
D318,centrale,sotouboua,sotouboua,Kodjoviakopé,Carte d'identité,Identité,105,29,0.03,2023-11-12,Première demande,Rejetée,Guichet,49,M
D319,savanes,oti,mango,Amoutivé,Carte d'identité,Identité,142,5,0.04,2023-11-12,Détérioration,En cours,Guichet,67,F
D320,plateaux,haho,notse,Agoè,Carte d'identité,Identité,166,1,0.01,2023-07-08,Expiration,Traitee,Guichet,52,F
D321,maritime,lacs,aneho,Amoutivé,Passeport,Voyage,161,12,0.05,2023-08-06,Voyage,Rejetée,Guichet,19,M
D322,savanes,tone,dapaong,Bè,Livre de famille,Civil,45,5,0.09,2023-11-05,Détérioration,Traitee,En ligne,81,M
D323,plateaux,ogou,atakpame,Nyékonakpoé,Acte de naissance,Civil,41,12,0.01,2023-06-11,Reconstitution,Traitee,Guichet,50,M
D324,maritime,lacs,aneho,Nyékonakpoé,Casier judiciaire,Judiciaire,132,44,0.09,2023-10-18,Voyage,Traitee,En ligne,21,F
D325,plateaux,haho,notse,Adidogomé,Carte d'identité,Identité,156,26,0.02,2023-04-06,Vol,Rejetée,En ligne,76,F
D326,kara,kozah,kara,Kwé,Certificat de nationalité,Identité,97,24,0.12,2023-10-06,Perte,Rejetée,En ligne,86,M
D327,plateaux,haho,notse,Adidogomé,Carte d'identité,Identité,43,34,0.05,2023-06-12,Première demande,Traitee,Guichet,78,F
D328,plateaux,kloto,kpalime,Tokoin,Carte d'identité,Identité,101,34,0.01,2023-06-17,Détérioration,Rejetée,Guichet,42,M
D329,savanes,oti,mango,Tokoin,Carte d'identité,Identité,68,26,0.08,2023-07-25,Première demande,Traitee,Guichet,46,M
D330,maritime,vo,vogan,Amoutivé,Livre de famille,Civil,130,23,0.08,2023-12-14,Perte,Traitee,Guichet,28,M
D331,centrale,tchaoudjo,sokode,Adidogomé,Livre de famille,Civil,185,31,0.12,2023-01-21,Détérioration,Traitee,En ligne,66,F
D332,plateaux,ogou,atakpame,Bè,Certificat de nationalité,Identité,63,42,0.03,2023-05-15,Première demande,Rejetée,Guichet,56,M
D333,savanes,oti,mango,Kwé,Livre de famille,Civil,168,32,0.14,2023-03-31,Détérioration,Traitee,Guichet,46,M
D334,savanes,oti,mango,Adidogomé,Livre de famille,Civil,125,32,0.07,2023-01-03,Perte,Traitee,Guichet,44,M
D335,kara,kozah,kara,Golfe,Livre de famille,Civil,120,43,0.12,2023-07-22,Perte,Rejetée,En ligne,45,M
D336,centrale,tchaoudjo,sokode,Agoè,Acte de naissance,Civil,141,18,0.1,2023-09-19,Reconstitution,En cours,En ligne,20,M
D337,plateaux,kloto,kpalime,Hedzranawoé,Acte de naissance,Civil,137,5,0.14,2023-06-16,Perte,Rejetée,En ligne,38,M
D338,kara,binah,pagouda,Adidogomé,Livre de famille,Civil,197,20,0.1,2023-07-09,Détérioration,Rejetée,Guichet,59,F
D339,plateaux,kloto,kpalime,Kwé,Carte d'identité,Identité,149,13,0.07,2023-09-02,Vol,Traitee,En ligne,65,M
D340,savanes,oti,mango,Kodjoviakopé,Carte d'identité,Identité,22,2,0.06,2023-07-04,Première demande,Rejetée,En ligne,61,F
D341,centrale,sotouboua,sotouboua,Adidogomé,Carte d'identité,Identité,193,40,0.1,2023-02-09,Expiration,Traitee,Guichet,52,F
D342,centrale,sotouboua,sotouboua,Agoè,Carte d'identité,Identité,145,45,0.11,2023-08-11,Vol,En cours,En ligne,66,M
D343,plateaux,haho,notse,Kodjoviakopé,Acte de naissance,Civil,81,36,0.14,2023-11-27,Detérioré,En cours,En ligne,56,M
D344,kara,binah,pagouda,Amoutivé,Acte de naissance,Civil,176,13,0.15,2023-01-17,Perte,Rejetée,En ligne,72,M
D345,kara,binah,pagouda,Adidogomé,Certificat de nationalité,Identité,199,43,0.01,2023-04-08,Première demande,En cours,Guichet,41,F
D346,centrale,tchaoudjo,sokode,Kwé,Casier judiciaire,Judiciaire,116,10,0.01,2023-05-17,Voyage,En cours,Guichet,68,M
D347,centrale,tchaoudjo,sokode,Kwé,Passeport,Voyage,50,16,0.1,2023-08-22,Expiration,Traitee,Guichet,34,F
D348,centrale,sotouboua,sotouboua,Bè,Certificat de nationalité,Identité,88,16,0.07,2023-08-30,Perte,Traitee,En ligne,45,F
D349,centrale,tchaoudjo,sokode,Hedzranawoé,Carte d'identité,Identité,45,18,0.08,2023-05-27,Détérioration,En cours,En ligne,33,M
D350,kara,kozah,kara,Bè,Livre de famille,Civil,15,33,0.01,2023-08-14,Nouveau mariage,Traitee,En ligne,80,F
D351,maritime,vo,vogan,Kodjoviakopé,Livre de famille,Civil,103,6,0.08,2023-06-21,Nouveau mariage,Traitee,En ligne,75,F
D352,savanes,oti,mango,Kwé,Livre de famille,Civil,147,4,0.13,2023-09-01,Détérioration,Rejetée,En ligne,75,F
D353,kara,kozah,kara,Tokoin,Acte de naissance,Civil,114,6,0.08,2023-02-06,Perte,Traitee,Guichet,89,F
D354,centrale,tchaoudjo,sokode,Kodjoviakopé,Certificat de nationalité,Identité,99,21,0.03,2023-05-28,Première demande,Rejetée,En ligne,45,M
D355,savanes,oti,mango,Kodjoviakopé,Passeport,Voyage,38,26,0.11,2023-02-11,Voyage,Traitee,En ligne,64,F
D356,plateaux,ogou,atakpame,Kwé,Certificat de nationalité,Identité,101,14,0.08,2023-01-16,Première demande,En cours,En ligne,34,M
D357,centrale,tchaoudjo,sokode,Nyékonakpoé,Certificat de nationalité,Identité,89,43,0.02,2023-04-05,Perte,Rejetée,Guichet,22,M
D358,centrale,tchaoudjo,sokode,Hôpital,Carte d'identité,Identité,32,24,0.07,2023-05-11,Vol,Traitee,En ligne,80,M
D359,centrale,tchaoudjo,sokode,Tokoin,Livre de famille,Civil,166,19,0.1,2023-01-13,Détérioration,Traitee,Guichet,31,F
D360,centrale,sotouboua,sotouboua,Kwé,Casier judiciaire,Judiciaire,172,16,0.09,2023-07-26,Emploi,En cours,Guichet,66,F
D361,maritime,vo,vogan,Hedzranawoé,Livre de famille,Civil,12,17,0.14,2023-07-20,Nouveau mariage,En cours,Guichet,56,M
D362,maritime,zio,tsevie,Amoutivé,Passeport,Voyage,136,3,0.05,2023-02-08,Page pleine,Traitee,En ligne,90,M
D363,plateaux,ogou,atakpame,Nyékonakpoé,Carte d'identité,Identité,10,4,0.07,2023-10-27,Détérioration,Rejetée,En ligne,45,M
D364,plateaux,haho,notse,Kodjoviakopé,Certificat de nationalité,Identité,93,13,0.05,2023-12-15,Concours,Traitee,En ligne,48,M
D365,kara,binah,pagouda,Hôpital,Casier judiciaire,Judiciaire,55,40,0.09,2023-10-10,Emploi,Traitee,En ligne,33,M
D366,kara,kozah,kara,Golfe,Certificat de nationalité,Identité,16,36,0.05,2023-01-14,Concours,En cours,Guichet,38,M
D367,plateaux,kloto,kpalime,Kwé,Certificat de nationalité,Identité,196,13,0.11,2023-05-03,Concours,Rejetée,En ligne,66,F
D368,savanes,oti,mango,Tokoin,Casier judiciaire,Judiciaire,71,43,0.12,2023-11-09,Voyage,Traitee,En ligne,34,M
D369,maritime,golfe,be,Adidogomé,Livre de famille,Civil,114,42,0.14,2023-06-28,Détérioration,Traitee,Guichet,78,M
D370,plateaux,haho,notse,Agoè,Casier judiciaire,Judiciaire,79,34,0.05,2023-07-26,Emploi,Traitee,En ligne,42,F
D371,maritime,zio,tsevie,Tokoin,Casier judiciaire,Judiciaire,127,30,0.07,2023-02-07,Voyage,Rejetée,En ligne,38,F
D372,kara,kozah,kara,Hôpital,Carte d'identité,Identité,84,26,0.08,2023-07-30,Perte,Rejetée,En ligne,55,M
D373,savanes,oti,mango,Hedzranawoé,Casier judiciaire,Judiciaire,23,16,0.1,2023-05-17,Voyage,Rejetée,En ligne,38,M
D374,kara,kozah,kara,Amoutivé,Certificat de nationalité,Identité,135,45,0.08,2023-01-04,Première demande,Rejetée,Guichet,30,F
D375,maritime,golfe,tokoin,Bè,Casier judiciaire,Judiciaire,165,43,0.04,2023-10-02,Emploi,Rejetée,Guichet,29,M
D376,plateaux,haho,notse,Agoè,Passeport,Voyage,49,32,0.07,2023-02-18,Perte,Rejetée,Guichet,48,M
D377,maritime,zio,tsevie,Hôpital,Passeport,Voyage,141,5,0.03,2023-12-26,Voyage,Rejetée,Guichet,23,M
D378,kara,kozah,kara,Golfe,Casier judiciaire,Judiciaire,156,39,0.03,2023-06-09,Voyage,Rejetée,En ligne,56,F
D379,centrale,tchaoudjo,sokode,Kwé,Livre de famille,Civil,49,10,0.09,2023-12-09,Perte,Rejetée,Guichet,60,F
D380,maritime,zio,tsevie,Adidogomé,Casier judiciaire,Judiciaire,135,1,0.07,2023-03-20,Voyage,En cours,Guichet,25,F
D381,kara,binah,pagouda,Amoutivé,Acte de naissance,Civil,186,22,0.04,2023-10-16,Erreur,Rejetée,Guichet,34,M
D382,centrale,sotouboua,sotouboua,Kodjoviakopé,Carte d'identité,Identité,123,19,0.04,2023-11-15,Vol,En cours,Guichet,54,M
D383,kara,kozah,kara,Nyékonakpoé,Certificat de nationalité,Identité,174,3,0.04,2023-04-08,Concours,En cours,En ligne,40,F
D384,maritime,zio,tsevie,Adidogomé,Passeport,Voyage,33,21,0.09,2023-06-18,Perte,Traitee,Guichet,46,M
D385,kara,binah,pagouda,Adidogomé,Passeport,Voyage,186,28,0.05,2023-03-17,Voyage,En cours,Guichet,60,M
D386,plateaux,kloto,kpalime,Kodjoviakopé,Passeport,Voyage,26,20,0.07,2023-11-06,Voyage,Traitee,Guichet,35,M
D387,kara,kozah,kara,Kodjoviakopé,Acte de naissance,Civil,57,41,0.09,2023-05-28,Reconstitution,Rejetée,Guichet,38,F
D388,kara,binah,pagouda,Agoè,Certificat de nationalité,Identité,75,9,0.15,2023-08-24,Perte,En cours,En ligne,42,F
D389,centrale,tchaoudjo,sokode,Tokoin,Acte de naissance,Civil,47,5,0.08,2023-10-02,Perte,Rejetée,Guichet,78,M
D390,plateaux,ogou,atakpame,Adidogomé,Livre de famille,Civil,26,40,0.12,2023-11-06,Nouveau mariage,En cours,En ligne,55,M
D391,kara,kozah,kara,Agoè,Certificat de nationalité,Identité,74,15,0.09,2023-05-24,Première demande,Rejetée,En ligne,52,F
D392,plateaux,kloto,kpalime,Hôpital,Carte d'identité,Identité,138,36,0.04,2023-05-25,Expiration,Traitee,Guichet,52,F
D393,kara,binah,pagouda,Golfe,Carte d'identité,Identité,130,7,0.14,2023-12-26,Perte,Rejetée,Guichet,66,M
D394,savanes,oti,mango,Nyékonakpoé,Casier judiciaire,Judiciaire,49,1,0.02,2023-08-04,Emploi,Traitee,Guichet,57,M
D395,maritime,golfe,tokoin,Amoutivé,Certificat de nationalité,Identité,172,4,0.08,2023-03-30,Première demande,Traitee,En ligne,51,F
D396,centrale,sotouboua,sotouboua,Kwé,Acte de naissance,Civil,114,36,0.13,2023-12-19,Detérioré,Rejetée,Guichet,30,F
D397,plateaux,ogou,atakpame,Hedzranawoé,Passeport,Voyage,139,12,0.03,2023-06-11,Page pleine,En cours,Guichet,30,F
D398,plateaux,kloto,kpalime,Nyékonakpoé,Casier judiciaire,Judiciaire,188,13,0.12,2023-08-21,Emploi,Traitee,Guichet,59,F
D399,maritime,vo,vogan,Agoè,Livre de famille,Civil,161,16,0.01,2023-08-13,Détérioration,Traitee,En ligne,40,F
D400,kara,kozah,kara,Hôpital,Passeport,Voyage,110,35,0.02,2023-10-07,Perte,En cours,Guichet,19,F
D401,kara,kozah,kara,Nyékonakpoé,Passeport,Voyage,193,5,0.01,2023-10-28,Voyage,Traitee,Guichet,80,M
D402,centrale,tchaoudjo,sokode,Hedzranawoé,Carte d'identité,Identité,49,34,0.02,2023-01-15,Vol,En cours,Guichet,35,M
D403,centrale,sotouboua,sotouboua,Tokoin,Acte de naissance,Civil,133,7,0.06,2023-01-03,Detérioré,En cours,Guichet,56,F
D404,centrale,tchaoudjo,sokode,Nyékonakpoé,Certificat de nationalité,Identité,126,5,0.04,2023-05-14,Concours,Traitee,Guichet,80,F
D405,plateaux,ogou,atakpame,Adidogomé,Acte de naissance,Civil,186,3,0.04,2023-05-26,Detérioré,Rejetée,En ligne,22,F
D406,kara,binah,pagouda,Nyékonakpoé,Passeport,Voyage,160,33,0.02,2023-06-21,Perte,Rejetée,Guichet,68,F
D407,savanes,oti,mango,Kwé,Livre de famille,Civil,173,45,0.13,2023-08-18,Perte,Rejetée,Guichet,39,F
D408,plateaux,ogou,atakpame,Bè,Passeport,Voyage,171,43,0.13,2023-09-12,Expiration,Rejetée,En ligne,43,F
D409,centrale,tchaoudjo,sokode,Adidogomé,Livre de famille,Civil,137,8,0.09,2023-02-25,Perte,En cours,En ligne,38,F
D410,plateaux,haho,notse,Hedzranawoé,Passeport,Voyage,65,16,0.08,2023-06-22,Voyage,En cours,Guichet,85,M
D411,plateaux,ogou,atakpame,Adidogomé,Certificat de nationalité,Identité,23,29,0.04,2023-01-13,Concours,Rejetée,Guichet,21,F
D412,centrale,sotouboua,sotouboua,Hôpital,Carte d'identité,Identité,152,16,0.05,2023-01-14,Expiration,En cours,Guichet,38,M
D413,plateaux,haho,notse,Nyékonakpoé,Carte d'identité,Identité,124,19,0.14,2023-04-21,Vol,Traitee,Guichet,31,F
D414,maritime,zio,tsevie,Amoutivé,Livre de famille,Civil,131,12,0.01,2023-02-19,Perte,Rejetée,Guichet,87,F
D415,maritime,vo,vogan,Amoutivé,Certificat de nationalité,Identité,174,36,0.02,2023-06-25,Concours,En cours,Guichet,76,F
D416,savanes,oti,mango,Tokoin,Passeport,Voyage,18,7,0.13,2023-01-18,Perte,Traitee,En ligne,72,M
D417,kara,binah,pagouda,Agoè,Certificat de nationalité,Identité,75,45,0.05,2023-11-03,Perte,En cours,En ligne,56,F
D418,centrale,tchaoudjo,sokode,Golfe,Livre de famille,Civil,74,7,0.14,2023-12-05,Perte,Rejetée,Guichet,75,F
D419,plateaux,ogou,atakpame,Adidogomé,Carte d'identité,Identité,52,5,0.05,2023-08-18,Détérioration,Traitee,Guichet,39,M
D420,plateaux,haho,notse,Nyékonakpoé,Carte d'identité,Identité,179,23,0.03,2023-09-15,Perte,En cours,Guichet,67,M
D421,maritime,vo,vogan,Adidogomé,Acte de naissance,Civil,35,8,0.02,2023-11-22,Reconstitution,Traitee,En ligne,35,F
D422,plateaux,ogou,atakpame,Kodjoviakopé,Livre de famille,Civil,145,44,0.14,2023-05-21,Perte,En cours,Guichet,87,F
D423,plateaux,ogou,atakpame,Golfe,Livre de famille,Civil,32,7,0.01,2023-01-30,Nouveau mariage,Traitee,Guichet,73,M
D424,plateaux,ogou,atakpame,Hôpital,Certificat de nationalité,Identité,176,26,0.06,2023-11-27,Concours,En cours,En ligne,46,F
D425,plateaux,ogou,atakpame,Amoutivé,Carte d'identité,Identité,199,38,0.03,2023-04-30,Première demande,Rejetée,En ligne,58,M
D426,savanes,tone,dapaong,Nyékonakpoé,Casier judiciaire,Judiciaire,187,26,0.11,2023-11-21,Voyage,En cours,En ligne,90,F
D427,centrale,sotouboua,sotouboua,Agoè,Passeport,Voyage,197,7,0.05,2023-01-02,Expiration,Rejetée,Guichet,64,F
D428,savanes,oti,mango,Golfe,Certificat de nationalité,Identité,128,14,0.01,2023-03-28,Concours,Traitee,Guichet,70,M
D429,savanes,tone,dapaong,Amoutivé,Casier judiciaire,Judiciaire,110,26,0.01,2023-02-20,Concours,Traitee,En ligne,32,M
D430,plateaux,haho,notse,Hôpital,Certificat de nationalité,Identité,77,44,0.09,2023-06-14,Perte,Traitee,Guichet,42,M
D431,kara,binah,pagouda,Adidogomé,Acte de naissance,Civil,62,36,0.08,2023-04-04,Reconstitution,Traitee,En ligne,26,F
D432,maritime,golfe,be,Hedzranawoé,Casier judiciaire,Judiciaire,89,43,0.13,2023-08-28,Voyage,Traitee,Guichet,24,F
D433,plateaux,haho,notse,Amoutivé,Passeport,Voyage,13,39,0.04,2023-02-21,Expiration,En cours,Guichet,30,M
D434,maritime,golfe,be,Nyékonakpoé,Carte d'identité,Identité,116,9,0.06,2023-04-25,Perte,Rejetée,En ligne,31,F
D435,savanes,oti,mango,Golfe,Acte de naissance,Civil,136,30,0.13,2023-07-11,Erreur,Traitee,En ligne,70,M
D436,maritime,lacs,aneho,Golfe,Passeport,Voyage,151,45,0.1,2023-03-07,Perte,En cours,Guichet,69,M
D437,kara,binah,pagouda,Kodjoviakopé,Certificat de nationalité,Identité,191,1,0.15,2023-08-24,Perte,Rejetée,En ligne,78,F
D438,centrale,tchaoudjo,sokode,Kwé,Acte de naissance,Civil,18,4,0.11,2023-09-04,Detérioré,Traitee,Guichet,67,M
D439,centrale,sotouboua,sotouboua,Hôpital,Passeport,Voyage,173,31,0.11,2023-01-27,Expiration,Traitee,En ligne,78,F
D440,kara,binah,pagouda,Nyékonakpoé,Livre de famille,Civil,88,37,0.1,2023-11-08,Détérioration,En cours,En ligne,33,M
D441,maritime,lacs,aneho,Hôpital,Livre de famille,Civil,80,14,0.03,2023-10-30,Détérioration,En cours,Guichet,41,M
D442,centrale,sotouboua,sotouboua,Amoutivé,Passeport,Voyage,121,40,0.09,2023-03-27,Perte,Rejetée,En ligne,80,F
D443,centrale,tchaoudjo,sokode,Tokoin,Carte d'identité,Identité,92,6,0.04,2023-07-24,Vol,Traitee,En ligne,62,M
D444,plateaux,kloto,kpalime,Hedzranawoé,Certificat de nationalité,Identité,119,14,0.12,2023-01-09,Perte,Traitee,Guichet,70,F
D445,savanes,tone,dapaong,Agoè,Certificat de nationalité,Identité,106,9,0.05,2023-06-11,Concours,Rejetée,En ligne,23,M
D446,plateaux,kloto,kpalime,Adidogomé,Certificat de nationalité,Identité,141,34,0.13,2023-10-17,Première demande,Rejetée,En ligne,72,M
D447,savanes,oti,mango,Kwé,Passeport,Voyage,114,31,0.05,2023-07-19,Perte,En cours,En ligne,62,F
D448,plateaux,haho,notse,Tokoin,Certificat de nationalité,Identité,21,38,0.01,2023-11-16,Perte,Traitee,Guichet,30,F
D449,maritime,golfe,be,Nyékonakpoé,Carte d'identité,Identité,160,25,0.03,2023-11-08,Perte,Traitee,En ligne,60,M
